stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
ALT;18951201;-;-;-;959.5;122.9;-;3.3;-;-;-
ALT;18960101;-;-;-;972.8;27.6;-;-0.1;-;-;-
ALT;18960201;-;-;-;972.5;41.5;-;0.8;-;-;-
ALT;18960301;-;-;-;961.3;225.4;-;7.8;-;-;-
ALT;18960401;-;-;-;966.2;155.7;-;7.6;-;-;-
ALT;18960501;-;-;-;963.7;85;-;12;-;-;-
ALT;18960601;-;-;-;963.1;116.9;-;17.1;-;-;-
ALT;18960701;-;-;-;965.1;169.3;-;18.4;-;-;-
ALT;18960801;-;-;-;964.1;180.2;-;15.7;-;-;-
ALT;18960901;-;-;-;962.9;136.6;-;14.5;-;-;-
ALT;18961001;-;-;-;959.2;185.9;-;10.2;-;-;-
ALT;18961101;-;-;-;963.7;69.4;-;4.4;-;-;-
ALT;18961201;-;-;-;960.8;33.3;-;3.1;-;-;-
ALT;18970101;-;-;-;957.7;21.1;-;2.3;-;-;-
ALT;18970201;-;-;-;969.9;164.3;-;4.9;-;-;-
ALT;18970301;-;-;-;960;68.8;-;8.6;-;-;-
ALT;18970401;-;-;-;960;68.9;-;10;-;-;-
ALT;18970501;-;-;-;960.4;82.3;-;12.1;-;-;-
ALT;18970601;-;-;-;965.5;137.7;-;18.1;-;-;-
ALT;18970701;-;-;-;964.3;163.5;-;19.2;-;-;-
ALT;18970801;-;-;-;964.1;199.3;-;18.1;-;-;-
ALT;18970901;-;-;-;965.4;270.1;-;13.6;-;-;-
ALT;18971001;-;-;-;968.8;17.7;-;9.7;-;-;-
ALT;18971101;-;-;-;971.7;15.9;-;5.3;-;-;-
ALT;18971201;-;-;-;967.4;34.5;-;2.4;-;-;-
ALT;18980101;-;-;-;975.8;9;-;2.4;-;-;-
